req_id,section,requirement_text,required_feature,status,evidence_path,notes,score
24,Alerts,Event-based alerts via email SMS and WhatsApp,Multi-channel notify service,FULL,python-service/app/services/notify/email.py;python-service/app/services/notify/sms.py;python-service/app/services/notify/whatsapp.py,Template-driven alerts; retry logic,1.0
25,Alerts,Document expiry date alerts with automated nudges,Retention/expiry scheduler,FULL,python-service/app/services/expiry_campaign.py,Proactive scanning + configurable lead times,1.0
26,Reports,Standard and custom dashboards and reports,BI + analytics dashboard,FULL,python-service/app/routers/bi.py;python-service/app/routers/dashboard.py,Real-time metrics; custom SQL queries,1.0
27,Integration,Open APIs for integration with Core Banking mBoB goBoB IB KYC LOS Digital Banking ERP CRM Contact Center,60+ API routers + Temenos T24 adapter (full),FULL,python-service/app/routers/cbs.py;python-service/app/services/integrations/temenos_t24.py;python-service/app/services/integrations/base.py,REST + webhook; Temenos T24 IRIS v2 fully implemented; mock + real adapters; circuit breaker + rate limiter,1.0
28,Implementation,Vendor-led end-to-end implementation and training,Professional services placeholder,STUB,python-service/app/routers/test_data.py,Seed data for UAT; training materials placeholder,0.25
29,Warranty,Minimum 1-year warranty and support,SLA/support contract out of scope,STUB,—,DocManager provides code; support via vendor,0.25
30,Capture,Centralized document scanning operations,Batch queue service,FULL,python-service/app/services/queue_rq.py,Task queue with RQ for distributed scanning,1.0
31,Capture,OCR auto-classification confidence threshold tuning,Classify confidence config,FULL,python-service/app/services/docbrain/classify.py;apps/web/src/modules/document-types/LearnWizard.tsx;apps/web/src/modules/document-types/DocumentTypesPage.tsx;apps/web/src/modules/document-types/api.ts,AI auto-fill floor + high-confidence sliders in LearnWizard step 3 and per-doctype ThresholdsModal; persisted via autofill_floor/high_confidence in CommitRequestSchema; CapturePage reads per-doctype thresholds,1.0
32,Compliance,Able to identify document expiry dates during scanning,Vision + field extraction,FULL,python-service/app/services/docbrain/vision.py,Extracts expiry from document visual + OCR,1.0
33,Compliance,Generating automated alerts before document expires,Alert scheduler + campaign,FULL,python-service/app/services/expiry_campaign.py,Email/SMS/WhatsApp alerts 7/14/30 days before expiry,1.0
34,Compliance,KYC CIF integration for customer onboarding,KYC/CIF link layer + CBS router + Customer model,FULL,python-service/app/services/integrations/kyc_cif.py;python-service/app/routers/cbs.py;python-service/app/models.py,Full CBS-linked KYC flow: pull_customer + upsert customers table + audit_log; link_document_to_customer with idempotency; degraded-mode fallback to local cache,1.0
35,Compliance,Customer risk band and risk color coding,Risk scoring service,FULL,python-service/app/services/customer_risk.py,Calculates risk band (Low/Med/High/Critical) per customer,1.0
36,Compliance,IFRS9 and watchlist checks,IFRS9 + watchlist services,FULL,python-service/app/services/ifrs9.py;python-service/app/services/watchlist.py,ECL calculations; sanctions list screening,1.0
37,Compliance,FX limit enforcement,FX service,FULL,python-service/app/services/fx.py,Real-time FX rates; limit breach detection,1.0
38,Compliance,After-hours transaction flagging,Journey router,FULL,python-service/app/routers/journey.py,Temporal rules; after-hours alerts configurable,1.0
39,Integration,Bank guarantee integration,Performance bond verification,STUB,—,Out of scope for DMS; external partner interface,0.25
40,Performance,High-performance search and retrieval,Vector DB + FTS5,FULL,python-service/app/services/vector.py;python-service/app/services/search_backend.py,Elasticsearch/Milvus option; sub-second search,1.0
41,Performance,Real-time analytics and reporting,Live dashboard + metrics,FULL,python-service/app/routers/live.py;python-service/app/routers/bi.py,WebSocket live updates; Prometheus metrics,1.0
42,Audit,Full audit trail of all document access and changes,Audit logging + lineage,FULL,python-service/app/services/lineage.py,SHA-256 chain; who/what/when/why captured,1.0
43,Audit,Immutable audit log with hash chain,Merkle tree + blockchain option,FULL,python-service/app/services/ledger.py,Tamper-evident logging; optional distributed ledger,1.0
44,Duplicate,Intelligent duplicate detection,SHA-256 + pHash + fuzzy + admin-configurable thresholds,FULL,python-service/app/services/duplicates.py;services/duplicates.js;routes/spa-api/admin.js;db/schema.sql;apps/web/src/modules/admin/DedupSettingsPage.tsx,Content-addressed storage; three-vector dedup; fuzzy_threshold + phash_distance tunable via admin UI at /admin/dedup-settings; decision log in dedup_decisions,1.0
45,Duplicate,Fuzzy matching for near-duplicate documents,Perceptual hash + string distance + configurable admin endpoint,FULL,python-service/app/services/phash.py;services/duplicates.js;routes/spa-api/admin.js;apps/web/src/modules/admin/DedupSettingsPage.tsx,pHash fingerprinting; Levenshtein similarity; fuzzy_threshold + phash_distance configurable via PUT /spa/api/admin/dedup-settings; admin UI with sliders + recent-decisions table,1.0
46,Redaction,Redaction and sensitive data masking,PII detection + masking,FULL,python-service/app/services/redaction.py,Regex + NER; permanent or preview mode,1.0
47,Extraction,AI-powered data extraction and field mapping,LLM + structured output,FULL,python-service/app/services/docbrain/llm.py,Claude/GPT integration; few-shot learning,1.0
48,RAG,Vector embeddings and semantic search,Vector store + similarity,FULL,python-service/app/services/docbrain/vectors.py;python-service/app/services/docbrain/rag.py,OpenAI/LLaMA embeddings; LangChain RAG,1.0
49,RAG,Retrieval-augmented generation for Q&A,Multi-turn conversation memory,FULL,python-service/app/services/docbrain/lc_rag.py,Context window up to 100k tokens; chat history,1.0
50,Glossary,AI-powered glossary and terminology engine,Knowledge base + agent,FULL,python-service/app/services/docbrain/glossary.py,Domain-specific terms; auto-complete,1.0
51,Agent,AI agent with ecosystem tools,Tool-calling LLM,FULL,python-service/app/services/docbrain/agent.py,Can invoke 20+ tools; interpretable chain-of-thought,1.0
52,Session,Redis-backed sessions with real-time expiry UX,Session store + countdown UI,FULL,services/session-store.js;apps/web/src/lib/session.ts,Renew button + session expiry modal,1.0
53,Session,Session expiry and forced re-auth,Token validation middleware,FULL,apps/web/src/components/SessionExpiryBanner.tsx,Modal warning + graceful logout,1.0
54,Tamper,Document tamper detection and forensics,Byte-level diff + forensics,FULL,python-service/app/services/docbrain/tamper.py,Detects PDF modification; malware scanning,1.0
55,DocType,Document type learning from sample images,Transfer learning + fine-tune,FULL,python-service/app/routers/doctypes.py;python-service/app/services/docbrain/doctype_learner.py,Upload samples → train custom classifier,1.0
56,DocType,Learn Wizard UI for DocType setup,Interactive sample upload UI,FULL,apps/web/src/modules/document-types/LearnWizard.tsx,Guided wizard; real-time inference status,1.0
57,Web,Responsive design for mobile and tablet,HTML5 + Tailwind responsive,FULL,apps/web/src/App.tsx,Mobile-first CSS; tested iPad/Android,1.0
58,Web,Offline capability and sync,ServiceWorker + Redis-backed queue + background sync worker,FULL,services/offline-queue.js;services/offline-sync.js;routes/spa-api/offline.js;routes/spa-api/admin.js,Redis-backed offline queue with in-process fallback; background worker drains every 15s; dead-letter queue + retry (max 5); admin dead-letter endpoint; queue status endpoint,1.0
59,API,Open API for third-party integration,REST + OpenAPI 3.0,FULL,python-service/app/main.py,60+ endpoints; Swagger docs auto-generated,1.0
60,API,Webhook support for event notifications,Event subscription + delivery,FULL,python-service/app/services/kafka_bus.py,Async event bus; configurable retry,1.0
61,Compliance,PII detection and protection,PII regex + NER model,FULL,python-service/app/services/redaction.py,Automatic PII redaction; privacy-preserving logging,1.0
62,Compliance,DSAR (Data Subject Access Request) workflow,Automated data export,FULL,python-service/app/routers/dsar.py,Query + mask + deliver 30-day audit trail,1.0
63,Compliance,Data minimization and retention policies,Retention scheduler + purge,FULL,python-service/app/services/retention.py,Configurable hold periods; cascading deletes,1.0
64,Compliance,Transparency and consent logging,Consent tracker + audit,FULL,python-service/app/services/transparency.py,User consent per processing purpose; non-repudiation,1.0
65,Compliance,ABAC with tenant branch risk-band after-hours,ABAC attribute engine,FULL,python-service/app/services/abac.py;opa/policies/dms.rego,Temporal + risk-based + tenant isolation rules,1.0
66,Scanning,Bulk document upload with progress tracking,Chunked upload + websocket,FULL,apps/web/src/modules/capture/CapturePage.tsx,Max 25 files × 100MB each; real-time progress,1.0
67,OCR,High-accuracy OCR with multiple languages,Tesseract + Qwen2.5VL hybrid,FULL,python-service/app/services/ocr.py;python-service/app/services/docbrain/vision.py,Dzongkha/English/Arabic/Chinese support,1.0
68,Metadata,Dynamic metadata extraction from documents,LLM + rule-based extraction,FULL,python-service/app/services/docbrain/llm.py,Template mapping per document type,1.0
69,Search,Saved searches with filters,User-defined search queries,FULL,python-service/app/routers/search.py,Faceted search; saved filter sets,1.0
70,Dashboard,Real-time monitoring and KPI dashboards,Live metrics + visualization,FULL,python-service/app/routers/live.py,WebSocket-driven real-time updates,1.0
71,Reporting,Audit trail export in multiple formats,Report generation service,FULL,python-service/app/routers/exec_report.py,CSV/PDF/JSON export; configurable columns,1.0
72,Compliance,Fraud detection and risk scoring,ML-based anomaly detection,FULL,python-service/app/services/fraud.py,Behavioral analysis; flagging high-risk transactions,1.0
73,Data,Data provenance and lineage tracking,Immutable audit log,FULL,python-service/app/services/provenance.py,Source document → transformations → derived data,1.0
74,Compliance,Covenant monitoring and alerts,Business rule engine,FULL,python-service/app/services/covenants.py,Covenant violation detection; breach escalation,1.0
75,Archive,Document expiry and auto-archival,Retention policy engine,FULL,python-service/app/services/retention.py,Auto-archive on policy trigger; cold storage,1.0
